book bird rattle face ,ahhah look we can read books david
book bird rattle face ,its a look and see book
book bird rattle face bear ,ahhah we open it up and there are a set of eyes and there is a
book bird rattle face bear ,the bear has a baby bottle 
book bird rattle face bear ,yes david has baby bottles 
book bird rattle mirror bunny ,oh 
book bird rattle mirror bunny ,theres a mirror 
book bird rattle mirror bunny ,can david see david 
book bird rattle mirror bunny ,see david there we go 
book bird rattle mirror bunny ,ah a bunny 
book bird rattle mirror bunny ,what do bunnies do 
book bird rattle mirror bunny ,bunnies go hiphop hiphop 
book bird rattle mirror bunny ,do bunnies go jumping through the forest 
book bird rattle mirror bunny ,can we sing the song 
book bird rattle kitty baby ,yeah 
book bird rattle kitty baby ,oh 
book bird rattle kitty baby ,theres a kittycat 
book bird rattle kitty baby ,kittycats go meow meow 
book bird rattle kitty baby ,the kittycats go meow meow 
book bird rattle kitty baby ,ah and a baby 
book bird rattle kitty baby ,theres a baby just like my david 
book bird rattle kitty baby ,a baby 
book bird rattle kitty baby ,thats a nice book 
book bird rattle man woman girl boy ,and look 
book bird rattle man woman girl boy ,theres a family just like ours 
book bird rattle man woman girl boy ,theres a mommy 
book bird rattle man woman girl boy ,and a daddy 
book bird rattle man woman girl boy ,and that could be your big sister alison 
book bird rattle man woman girl boy ,and theres baby david 
bird rattle ,ah is that fun 
bird rattle ,yeah 
bird rattle ,lookee ahhah 
bird rattle ,heres bigbird 
bird rattle ,we watch big bird dont we 
bird rattle ,because alison likes bigbird 
bird rattle ,she learns about her alphabet with bigbird 
bird rattle ,ah want to play with bigbird 
bird rattle ,yeah i see those hands i see those hands 
bird rattle ,theres bigbird 
bird rattle ,should bigbird sing his abc 
bird rattle ,yeah 
bird rattle ,a b c d e f g  
bird rattle ,h i j k l m n o p  
bird rattle ,q r s t y v  
bird rattle ,w x y and z  
bird rattle ,now i know my abc  
bird rattle ,next time wont you sing with me  
bird rattle ,youre a drooly boy 
bird rattle ,yes you are 
bird rattle ,youre a drooly boy today 
bird rattle ,bigbird 
bird rattle ,okay you want to hold bigbird 
bird rattle ,yeah bigbirds eyes 
bird rattle ,bigbirds soft 
bird ,yeah 
bird ,he sure is hes soft 
bird ,aw big hugs 
bird ,mmm can momma hug bigbird too 
bird ,so we can see you 
bird ,yeah huh 
bird ,momma hug bigbird aw 
bird ,can david hug bigbird 
bird ,aw 
bird ,is that sweet 
bird ring ,look we could colors 
bird ring ,usually we dont get these because usually alison has them 
bird ring ,uhuh 
bird ring ,all our colors 
bird ring ,ah blue rings 
bird ring ,and green rings 
bird ring ,and yellow rings 
bird ring ,ah orange rings 
bird ring ,and red ones 
bird ring ,ah bigbird 
bird ring ,do you want to hold the rings 
bird ring ,you want ta play with the rings 
bird ring ,hi 
bird ring ,theres a red one 
bird ring ,yeah everything in the mouth 
bird ring ,just where it belongs 
bird ring ,huh 
bird ring ,just where it belongs 
ring ,hi 
ring ,hi 
ring ,huh yeah 
ring pig ,there lots of toys i think some of these might squeak 
ring pig ,uh 
ring pig ,no mot thought the piggie might squeak 
ring pig ,piggie goes oink oink 
ring pig ,oink oink 
ring pig ,piggies are kind of noisy 
ring pig ,they like to eat a lot 
ring pig ,make lots of messes 
ring pig ,make lots of messes 
ring hand ,yeah they sure do 
ring hand ,oh that ones kind of fun 
ring hand ,thats a hand 
ring hand ,thats a hand 
ring hand ,want the hand 
ring hand ,okay 
ring hand ,yeah lots of things 
ring hand ,lots of toys 
ring hand ,lot of toys to play with 
ring hand ,we like to play we love to chew dont we yeah 
hand hat ,you got those teeth that are going to come in any day now 
hand hat ,yeah any day now look david its a mickeymouse hat 
hand hat ,look you wanna where the hat 
hand hat ,oh i here a fun noisy toy in there 
hand hat ,yeah 
hand hat ,moms got a hat on look 
hand hat ,thats like alisons hat 
hand hat ,uhhuh 
hand hat ,is that a fun hat 
hand hat ,davids got a baseball hat 
hand duck ,do you hear the noisy toy 
hand duck ,look 
hand duck ,is that one fun 
hand duck ,yeah 
hand duck ,that looks like a duck 
hand duck ,quackquack quackquack
hand duck ,yeah and look the duckie has a bowtie 
hand duck ,yeah how about that 
hand duck ,a bowtie 
hand duck ,yeah you like that one that one makes funny noise 
hand duck ,uhuh 
hand duck ,oh does that taste good 
hand duck ,does that taste good 
hand duck ,mhmm 
hand duck ,are you eating that up 
hand duck ,are you eating that up 
hand duck ,huh 
